version,id,key,name,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,win_rate,pick_rate,average_KDA
9.22.1,Aatrox,266,Aatrox,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",'Fighter', 'Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580,90,0,0,345,38,3.25,32.1,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,0.4764971023824855,0.06231442099349972,1.9361207897793264
9.22.1,Ahri,103,Ahri,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",'Mage', 'Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526,92,418,25,330,20.88,3.5,30,0.5,550,6.5,0.6,8,0.8,0,0,53.04,3,2,0.668,0.5067725361980383,0.08590803306315704,2.1443845207682846
9.22.1,Akali,84,Akali,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",'Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575,95,200,0,345,23,3.5,37,1.25,125,8,0.5,50,0,0,0,62.4,3.3,3.2,0.625,0.45993031358885017,0.11515929700666078,2.219861342919502
9.22.1,Alistar,12,Alistar,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",'Tank', 'Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350,40,330,44,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,0.4326241134751773,0.03394591124307841,1.3194307175331093
9.22.1,Amumu,32,Amumu,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",'Tank', 'Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40,335,33,3.8,32.1,1.25,125,9,0.85,7.382,0.525,0,0,53.38,3.8,2.18,0.736,0.48936170212765956,0.041489447074873606,1.8298798537349816
9.22.1,Anivia,34,Anivia,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",'Mage', 'Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480,82,495,25,325,21.22,4,30,0.5,600,5.5,0.55,8,0.8,0,0,51.376,3.2,1.68,0.625,0.4864406779661017,0.02367386245084664,2.1259173426033215
9.22.1,Annie,1,Annie,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",'Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524,88,418,25,335,19.22,4,30,0.5,625,5.5,0.55,8,0.8,0,0,50.41,2.625,1.36,0.579,0.49671772428884026,0.036674424203514966,2.0310331534309944
9.22.1,Ashe,22,Ashe,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",'Marksman', 'Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539,85,280,32,325,26,3.4,30,0.5,600,3.5,0.55,6.972,0.4,0,0,61,2.96,3.33,0.658,0.5178283873936048,0.1744242035149667,2.0061251887900653
9.22.1,AurelionSol,136,Aurelion Sol,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",'Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575,92,350,50,325,19,3.6,30,0.5,550,7,0.6,6,0.8,0,0,57,3.2,1.36,0.625,0.5446153846153846,0.01304068694326298,2.056887897378695
9.22.1,Azir,268,Azir,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",'Mage', 'Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552,92,438,21,335,19.04,3,30,0.5,525,7,0.75,8,0.8,0,0,52,2.8,3,0.625,0.43333333333333335,0.013241312896236257,1.8834388185654007
