,Unnamed: 0,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Runes1,Items1,Spells1,Runes2,Items2,Spells2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,Allies0,Allies1,Allies2,Counters0,Counters1,Counters2
0,0,9.22.1,Aatrox,266,Aatrox,True,True,,True,,,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Fighter',Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.6509999999999999,9111,3071,4,8010,3812,12,8135,3047,14,0.454059829059829,0.0533515731874145,0.05340857273141815,0.10676014591883264,1.9055619930475087,Caitlyn,Senna,Kaisa,Caitlyn,Kaisa,LeeSin
1,1,9.22.1,Ahri,103,Ahri,True,,,True,,,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Mage',Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526.0,92,418.0,25.0,330,20.88,3.5,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,53.04,3.0,2.0,0.6679999999999999,8112,3020,4,8138,3285,14,8226,1056,12,0.5135464231354643,0.0936217510259918,0.055717054263565886,0.14933880528955767,2.1662792120396426,Caitlyn,Senna,Thresh,Senna,Kaisa,Caitlyn
2,2,9.22.1,Akali,84,Akali,False,True,,True,,,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,0,0,62.4,3.3,3.2,0.625,8014,3146,4,9111,3020,14,8135,3157,12,0.4564507348938487,0.10470816233470133,0.19314295485636115,0.2978511171910625,2.2133861823290357,Senna,Caitlyn,Kaisa,Kaisa,Yasuo,Senna
3,3,9.22.1,Alistar,12,Alistar,True,,,,,True,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Tank',Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,8439,3117,4,8446,3401,14,8451,3109,3,0.4552631578947369,0.032489740082079346,0.009233926128590971,0.04172366621067032,1.3222877893781206,Yasuo,Caitlyn,Kaisa,Kaisa,Leona,Thresh
4,4,9.22.1,Amumu,32,Amumu,True,,True,,,,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Tank',Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40.0,335,33.0,3.8,32.1,1.25,125,9.0,0.85,7.3820000000000014,0.525,0,0,53.38,3.8,2.18,0.736,8439,1401,4,8451,3047,11,8463,2031,14,0.5019181585677749,0.044573643410852716,0.008065435476516189,0.052639078887368906,1.8339649455234488,Senna,Caitlyn,Kaisa,Kaisa,Senna,Caitlyn
5,5,9.22.1,Anivia,34,Anivia,True,,,True,,,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mage',Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480.0,82,495.0,25.0,325,21.22,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,0,0,51.37600000000001,3.2,1.68,0.625,8226,3027,4,8229,3020,12,8236,3040,14,0.5123384253819037,0.02425330597355221,0.011399908800729594,0.035653214774281815,2.130705394190872,Caitlyn,Senna,Ashe,Senna,Caitlyn,LeeSin
6,6,9.22.1,Annie,1,Annie,True,,,True,,,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524.0,88,418.0,25.0,335,19.22,4.0,30.0,0.5,625,5.5,0.55,8.0,0.8,0,0,50.41,2.625,1.36,0.579,8138,3020,4,8112,3285,14,8126,1056,12,0.4859050445103858,0.038417692658458735,0.012482900136798905,0.05090059279525764,2.0217476233884617,Senna,Kaisa,Thresh,Kaisa,Yasuo,Senna
7,7,9.22.1,Ashe,22,Ashe,True,,,,True,,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Marksman',Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539.0,85,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,0,0,61.0,2.96,3.33,0.6579999999999999,8014,3006,4,9111,3153,7,8008,3085,12,0.5176711896497318,0.1806315549475604,0.09182626538987687,0.2724578203374373,2.0044209680197507,Senna,Yasuo,LeeSin,Caitlyn,Kaisa,Senna
8,8,9.22.1,AurelionSol,136,Aurelion Sol,True,,,True,,,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575.0,92,350.0,50.0,325,19.0,3.6,30.0,0.5,550,7.0,0.6,6.0,0.8,0,0,57.0,3.2,1.36,0.625,8112,3027,4,8138,3116,14,8139,2033,3,0.5584415584415584,0.010972412220702235,0.0026789785681714546,0.013651390788873691,2.1289701636188645,Senna,Kaisa,Thresh,Senna,Kaisa,Thresh
9,9,9.22.1,Azir,268,Azir,True,,,True,,,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mage',Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552.0,92,438.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,0,0,52.0,2.8,3.0,0.625,8226,3020,4,9104,3115,14,8014,1056,21,0.4458128078817734,0.011570907432740538,0.002507979936160511,0.014078887368901047,1.9646690518783545,Kaisa,Caitlyn,Yasuo,Yasuo,Kaisa,Caitlyn
