,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Allies0,Counters0,Runes1,Items1,Spells1,Allies1,Counters1,Runes2,Items2,Spells2,Allies2,Counters2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,duration0-20_total,duration0-20_wins,duration0-20_winrate,duration20-25_total,duration20-25_wins,duration20-25_winrate,duration25-30_total,duration25-30_wins,duration25-30_winrate,duration30-35_total,duration30-35_wins,duration30-35_winrate,duration35+_total,duration35+_wins,duration35+_winrate,Allies0_winrate,Allies0_samples,Allies1_winrate,Allies1_samples,Allies2_winrate,Allies2_samples,Counters0_winrate,Counters0_samples,Counters1_winrate,Counters1_samples,Counters2_winrate,Counters2_samples
0,9.22.1,Aatrox,266,Aatrox,TRUE,TRUE,,TRUE,,,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Fighter',Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580,90,0,0,345,38,3.25,32.1,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,9111,3071,4,427,268,8010,3812,12,37,133,8135,3047,14,17,85,0.45819256756756754,0.05486561631139945,0.05023169601482855,0.10509731232622799,1.9066923076923077,336,171,0.5089285714285714,582,276,0.4742268041237113,662,291,0.4395770392749245,510,216,0.4235294117647059,278,131,0.4712230215827338,0.6666666666666666,76,0.6190476190476191,76,0.6153846153846154,76,0.16666666666666666,64,0.25,64,0.29411764705882354,64
1,9.22.1,Ahri,103,Ahri,TRUE,,,TRUE,,,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Mage',Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526,92,418,25,330,20.88,3.5,30,0.5,550,6.5,0.6,8,0.8,0,0,53.04,3,2,0.668,8112,3020,4,517,427,8138,3285,14,72,150,8226,1056,12,101,136,0.519350811485643,0.09279425393883226,0.05282669138090825,0.1456209453197405,2.166886811623654,464,257,0.5538793103448276,874,470,0.5377574370709383,1171,609,0.520068317677199,880,438,0.49772727272727274,616,306,0.4967532467532468,0.7,86,0.6923076923076923,86,0.6739130434782609,86,0.35714285714285715,128,0.39215686274509803,128,0.39285714285714285,128
2,9.22.1,Akali,84,Akali,FALSE,TRUE,,TRUE,,,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575,95,200,0,345,23,3.5,37,1.25,125,8,0.5,50,0,0,0,62.4,3.3,3.2,0.625,8014,3146,4,427,62,9111,3020,14,112,223,8135,3157,12,44,240,0.4631346578366446,0.10495829471733086,0.19348934198331788,0.2984476367006487,2.229856935517313,568,262,0.4612676056338028,982,483,0.49185336048879835,1365,596,0.43663003663003663,978,464,0.47443762781186094,637,293,0.4599686028257457,0.7333333333333333,124,0.6818181818181818,124,0.6176470588235294,124,0.3442622950819672,108,0.34782608695652173,108,0.3559322033898305,108
3,9.22.1,Alistar,12,Alistar,TRUE,,,,,TRUE,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Tank',Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350,40,330,44,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,8439,3117,4,517,27,8446,3401,14,115,68,8451,3109,3,85,57,0.4534967555875991,0.032136237256719186,0.008989805375347545,0.041126042632066734,1.3179838207840697,164,72,0.43902439024390244,344,128,0.37209302325581395,406,191,0.47044334975369456,302,162,0.5364238410596026,171,76,0.4444444444444444,0.6923076923076923,3,0.6666666666666666,3,0.6086956521739131,3,0.16666666666666666,22,0.23076923076923078,22,0.23809523809523808,22
4,9.22.1,Amumu,32,Amumu,TRUE,,TRUE,,,,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Tank',Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40,335,33,3.8,32.1,1.25,125,9,0.85,7.382,0.525,0,0,53.38,3.8,2.18,0.736,8439,1401,4,115,201,8451,3047,11,44,37,8463,2031,14,112,107,0.5038845726970034,0.0417516218721038,0.00711306765523633,0.04886468952734013,1.8345048583832955,204,109,0.5343137254901961,404,199,0.49257425742574257,542,273,0.503690036900369,394,192,0.4873096446700508,258,135,0.5232558139534884,0.8235294117647058,56,0.8,56,0.6842105263157895,56,0.2857142857142857,58,0.3225806451612903,58,0.3283582089552239,58
5,9.22.1,Anivia,34,Anivia,TRUE,,,TRUE,,,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mage',Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480,82,495,25,325,21.22,4,30,0.5,600,5.5,0.55,8,0.8,0,0,51.376,3.2,1.68,0.625,8226,3027,4,83,240,8229,3020,12,89,75,8236,3040,14,62,59,0.5086505190311419,0.026784059314179796,0.011793327154772939,0.038577386468952736,2.1484914218102937,113,54,0.4778761061946903,253,130,0.5138339920948617,371,187,0.5040431266846361,254,136,0.5354330708661418,165,81,0.4909090909090909,0.8461538461538461,28,0.7142857142857143,28,0.6923076923076923,28,0.17391304347826086,37,0.2222222222222222,37,0.27586206896551724,37
6,9.22.1,Annie,1,Annie,TRUE,,,TRUE,,,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524,88,418,25,335,19.22,4,30,0.5,625,5.5,0.55,8,0.8,0,0,50.41,2.625,1.36,0.579,8138,3020,4,427,69,8112,3285,14,161,102,8126,1056,12,15,113,0.49154746423927176,0.035634847080630215,0.01098239110287303,0.046617238183503246,2.0445911512624506,183,85,0.4644808743169399,376,193,0.5132978723404256,454,226,0.4977973568281938,318,154,0.48427672955974843,207,98,0.47342995169082125,0.8181818181818182,29,0.7391304347826086,29,0.6944444444444444,29,0.3,49,0.3076923076923077,49,0.3125,49
7,9.22.1,Ashe,22,Ashe,TRUE,,,,TRUE,,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Marksman',Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539,85,280,32,325,26,3.4,30,0.5,600,3.5,0.55,6.972,0.4,0,0,61,2.96,3.33,0.658,8014,3006,4,44,37,9111,3153,7,29,44,8008,3085,12,16,432,0.5173200859291085,0.17256719184430028,0.08582020389249305,0.2583873957367933,1.999040519595542,876,458,0.5228310502283106,1739,952,0.547441058079356,2188,1108,0.506398537477148,1588,805,0.506926952141058,1057,530,0.5014191106906338,0.6629213483146067,296,0.6271186440677966,296,0.6213991769547325,296,0.41025641025641024,201,0.4230769230769231,201,0.42424242424242425,201
8,9.22.1,AurelionSol,136,Aurelion Sol,TRUE,,,TRUE,,,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575,92,350,50,325,19,3.6,30,0.5,550,7,0.6,6,0.8,0,0,57,3.2,1.36,0.625,8112,3027,4,150,56,8138,3116,14,57,74,8139,2033,3,161,68,0.5519031141868512,0.013392029657089898,0.0028962001853568117,0.01628822984244671,2.1000978154548418,84,45,0.5357142857142857,137,77,0.5620437956204379,163,96,0.588957055214724,114,62,0.543859649122807,80,39,0.4875,0.8,17,0.8,17,0.8,17,0.29411764705882354,14,0.3076923076923077,14,0.3076923076923077,14
9,9.22.1,Azir,268,Azir,TRUE,,,TRUE,,,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mage',Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552,92,438,21,335,19.04,3,30,0.5,525,7,0.75,8,0.8,0,0,52,2.8,3,0.625,8226,3020,4,143,5,9104,3115,14,111,20,8014,1056,21,56,103,0.45714285714285713,0.011353104726598702,0.002664504170528267,0.014017608897126969,1.9845690628528416,53,24,0.4528301886792453,118,49,0.4152542372881356,148,66,0.44594594594594594,102,50,0.49019607843137253,69,35,0.5072463768115942,0.6923076923076923,13,0.6896551724137931,13,0.6666666666666666,13,0.08333333333333333,10,0.23076923076923078,10,0.26666666666666666,10
