version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,duration0-20_total,duration0-20_wins,duration0-20_winrate,duration20-25_total,duration20-25_wins,duration20-25_winrate,duration25-30_total,duration25-30_wins,duration25-30_winrate,duration30-35_total,duration30-35_wins,duration30-35_winrate,duration30+_total,duration30+_wins,duration30+_winrate
9.22.1,Aatrox,266,Aatrox,TRUE,TRUE,,TRUE,,,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Fighter',Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580,90,0,0,345,38,3.25,32.1,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,336,171,0.5089285714285714,582,276,0.4742268041237113,662,291,0.4395770392749245,510,216,0.4235294117647059,278,131,0.4712230215827338
9.22.1,Ahri,103,Ahri,TRUE,,,TRUE,,,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Mage',Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526,92,418,25,330,20.88,3.5,30,0.5,550,6.5,0.6,8,0.8,0,0,53.04,3,2,0.668,464,257,0.5538793103448276,874,470,0.5377574370709383,1171,609,0.520068317677199,880,438,0.49772727272727274,616,306,0.4967532467532468
9.22.1,Akali,84,Akali,FALSE,TRUE,,TRUE,,,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575,95,200,0,345,23,3.5,37,1.25,125,8,0.5,50,0,0,0,62.4,3.3,3.2,0.625,568,262,0.4612676056338028,982,483,0.49185336048879835,1365,596,0.43663003663003663,978,464,0.47443762781186094,637,293,0.4599686028257457
9.22.1,Alistar,12,Alistar,TRUE,,,,,TRUE,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Tank',Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350,40,330,44,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,164,72,0.43902439024390244,344,128,0.37209302325581395,406,191,0.47044334975369456,302,162,0.5364238410596026,171,76,0.4444444444444444
9.22.1,Amumu,32,Amumu,TRUE,,TRUE,,,,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Tank',Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40,335,33,3.8,32.1,1.25,125,9,0.85,7.382,0.525,0,0,53.38,3.8,2.18,0.736,204,109,0.5343137254901961,404,199,0.49257425742574257,542,273,0.503690036900369,394,192,0.4873096446700508,258,135,0.5232558139534884
9.22.1,Anivia,34,Anivia,TRUE,,,TRUE,,,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mage',Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480,82,495,25,325,21.22,4,30,0.5,600,5.5,0.55,8,0.8,0,0,51.376,3.2,1.68,0.625,113,54,0.4778761061946903,253,130,0.5138339920948617,371,187,0.5040431266846361,254,136,0.5354330708661418,165,81,0.4909090909090909
9.22.1,Annie,1,Annie,TRUE,,,TRUE,,,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524,88,418,25,335,19.22,4,30,0.5,625,5.5,0.55,8,0.8,0,0,50.41,2.625,1.36,0.579,183,85,0.4644808743169399,376,193,0.5132978723404256,454,226,0.4977973568281938,318,154,0.48427672955974843,207,98,0.47342995169082125
9.22.1,Ashe,22,Ashe,TRUE,,,,TRUE,,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Marksman',Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539,85,280,32,325,26,3.4,30,0.5,600,3.5,0.55,6.972,0.4,0,0,61,2.96,3.33,0.658,876,458,0.5228310502283106,1739,952,0.547441058079356,2188,1108,0.506398537477148,1588,805,0.506926952141058,1057,530,0.5014191106906338
9.22.1,AurelionSol,136,Aurelion Sol,TRUE,,,TRUE,,,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575,92,350,50,325,19,3.6,30,0.5,550,7,0.6,6,0.8,0,0,57,3.2,1.36,0.625,84,45,0.5357142857142857,137,77,0.5620437956204379,163,96,0.588957055214724,114,62,0.543859649122807,80,39,0.4875
9.22.1,Azir,268,Azir,TRUE,,,TRUE,,,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mage',Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552,92,438,21,335,19.04,3,30,0.5,525,7,0.75,8,0.8,0,0,52,2.8,3,0.625,53,24,0.4528301886792453,118,49,0.4152542372881356,148,66,0.44594594594594594,102,50,0.49019607843137253,69,35,0.5072463768115942
9.22.1,Bard,432,Bard,TRUE,,,,,TRUE,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Support',Mage',Mana,4,4,5,9,Bard.png,champion0.png,champion,0,48,48,48,575,89,350,50,330,34,4,30,0.5,500,5.5,0.55,6,0.45,0,0,52,3,2,0.625,218,115,0.5275229357798165,385,201,0.522077922077922,522,255,0.4885057471264368,367,188,0.5122615803814714,274,157,0.572992700729927
9.22.1,Blitzcrank,53,Blitzcrank,TRUE,,,,,TRUE,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Tank',Fighter',Mana,4,8,5,4,Blitzcrank.png,champion0.png,champion,48,48,48,48,582.6,95,267.2,40,325,40,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625,530,291,0.5490566037735849,1070,597,0.5579439252336449,1333,717,0.5378844711177795,982,464,0.4725050916496945,535,267,0.49906542056074765
9.22.1,Brand,63,Brand,TRUE,,,,,TRUE,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Mage',,Mana,2,2,9,4,Brand.png,champion0.png,champion,96,48,48,48,519.68,88,469,21,340,21.88,3.5,30,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3,1.36,0.625,290,153,0.5275862068965518,554,274,0.49458483754512633,714,348,0.48739495798319327,531,270,0.5084745762711864,443,222,0.5011286681715575
9.22.1,Braum,201,Braum,TRUE,,,,,TRUE,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Support',Tank',Mana,3,9,4,3,Braum.png,champion0.png,champion,144,48,48,48,540,87,310.6,45,335,47,4,32.1,1.25,125,8,1,6,0.8,0,0,55.376,3.2,3.5,0.644,134,60,0.44776119402985076,219,93,0.4246575342465753,288,125,0.4340277777777778,220,121,0.55,118,57,0.4830508474576271
9.22.1,Caitlyn,51,Caitlyn,TRUE,,,,TRUE,,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481,91,313.7,35,325,28,3.5,30,0.5,650,3.5,0.55,7.4,0.55,0,0,62,2.88,4,0.625,1300,695,0.5346153846153846,2374,1226,0.5164279696714406,2979,1500,0.5035246727089627,2134,1038,0.48641049671977504,1423,706,0.4961349262122277
9.22.1,Camille,164,Camille,TRUE,TRUE,TRUE,TRUE,,,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Fighter',Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32,340,35,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68,3.5,2.5,0.644,375,181,0.4826666666666667,677,340,0.5022156573116692,729,331,0.4540466392318244,533,264,0.49530956848030017,278,128,0.460431654676259
9.22.1,Cassiopeia,69,Cassiopeia,TRUE,,,TRUE,,,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575,90,350,40,328,20,3.5,30,0.5,550,5.5,0.5,8,0.8,0,0,53,3,1.5,0.647,132,50,0.3787878787878788,261,129,0.4942528735632184,305,162,0.5311475409836065,246,136,0.5528455284552846,147,79,0.5374149659863946
9.22.1,Chogath,31,Cho'Gath,TRUE,TRUE,,TRUE,,,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Tank',Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40,345,38,3.5,32.1,1.25,125,9,0.85,7.206,0.45,0,0,69,4.2,1.44,0.625,189,99,0.5238095238095238,417,206,0.4940047961630695,499,220,0.4408817635270541,387,196,0.5064599483204134,259,133,0.5135135135135135
9.22.1,Corki,42,Corki,FALSE,,,TRUE,,,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518,87,350.16,34,325,28,3.5,30,0.5,550,5.5,0.55,7.424,0.55,0,0,55,2.5,2.3,0.638,49,23,0.46938775510204084,66,33,0.5,98,40,0.40816326530612246,64,25,0.390625,47,20,0.425531914893617
