,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Allies0,Counters0,Runes1,Items1,Spells1,Allies1,Counters1,Runes2,Items2,Spells2,Allies2,Counters2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA
0,9.22.1,Aatrox,266,Aatrox,True,True,,True,,,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Fighter',Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580.0,90,0.0,0.0,345,38.0,3.25,32.1,1.25,175,3.0,1.0,0.0,0.0,0,0,60.0,5.0,2.5,0.6509999999999999,9111,3071,4,51,51,8010,3812,12,235,145,8135,3047,14,145,64,0.45405982905982906,0.0533515731874145,0.05340857273141815,0.10676014591883265,1.9055619930475087
1,9.22.1,Ahri,103,Ahri,True,,,True,,,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Mage',Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526.0,92,418.0,25.0,330,20.88,3.5,30.0,0.5,550,6.5,0.6,8.0,0.8,0,0,53.04,3.0,2.0,0.6679999999999999,8112,3020,4,51,235,8138,3285,14,235,145,8226,1056,12,412,51,0.5135464231354643,0.0936217510259918,0.05571705426356589,0.14933880528955767,2.1662792120396426
2,9.22.1,Akali,84,Akali,False,True,,True,,,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575.0,95,200.0,0.0,345,23.0,3.5,37.0,1.25,125,8.0,0.5,50.0,0.0,0,0,62.4,3.3,3.2,0.625,8014,3146,4,235,145,9111,3020,14,51,157,8135,3157,12,145,235,0.4564507348938487,0.10470816233470132,0.19314295485636115,0.2978511171910625,2.2133861823290353
3,9.22.1,Alistar,12,Alistar,True,,,,,True,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Tank',Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350.0,40.0,330,44.0,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,8439,3117,4,157,145,8446,3401,14,51,89,8451,3109,3,145,412,0.45526315789473687,0.032489740082079346,0.009233926128590971,0.04172366621067032,1.3222877893781206
4,9.22.1,Amumu,32,Amumu,True,,True,,,,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Tank',Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40.0,335,33.0,3.8,32.1,1.25,125,9.0,0.85,7.382000000000001,0.525,0,0,53.38,3.8,2.18,0.736,8439,1401,4,235,145,8451,3047,11,51,235,8463,2031,14,145,51,0.5019181585677749,0.044573643410852716,0.008065435476516189,0.052639078887368906,1.8339649455234486
5,9.22.1,Anivia,34,Anivia,True,,,True,,,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mage',Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480.0,82,495.0,25.0,325,21.22,4.0,30.0,0.5,600,5.5,0.55,8.0,0.8,0,0,51.376000000000005,3.2,1.68,0.625,8226,3027,4,51,235,8229,3020,12,235,51,8236,3040,14,22,64,0.5123384253819037,0.02425330597355221,0.011399908800729594,0.03565321477428181,2.1307053941908713
6,9.22.1,Annie,1,Annie,True,,,True,,,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524.0,88,418.0,25.0,335,19.22,4.0,30.0,0.5,625,5.5,0.55,8.0,0.8,0,0,50.41,2.625,1.36,0.579,8138,3020,4,235,145,8112,3285,14,145,157,8126,1056,12,412,235,0.48590504451038574,0.038417692658458735,0.012482900136798905,0.05090059279525764,2.021747623388462
7,9.22.1,Ashe,22,Ashe,True,,,,True,,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Marksman',Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539.0,85,280.0,32.0,325,26.0,3.4,30.0,0.5,600,3.5,0.55,6.972,0.4,0,0,61.0,2.96,3.33,0.6579999999999999,8014,3006,4,235,51,9111,3153,7,157,145,8008,3085,12,64,235,0.5176711896497318,0.18063155494756042,0.09182626538987688,0.2724578203374373,2.0044209680197507
8,9.22.1,AurelionSol,136,Aurelion Sol,True,,,True,,,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575.0,92,350.0,50.0,325,19.0,3.6,30.0,0.5,550,7.0,0.6,6.0,0.8,0,0,57.0,3.2,1.36,0.625,8112,3027,4,235,235,8138,3116,14,145,145,8139,2033,3,412,412,0.5584415584415584,0.010972412220702235,0.0026789785681714546,0.01365139078887369,2.1289701636188645
9,9.22.1,Azir,268,Azir,True,,,True,,,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mage',Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552.0,92,438.0,21.0,335,19.04,3.0,30.0,0.5,525,7.0,0.75,8.0,0.8,0,0,52.0,2.8,3.0,0.625,8226,3020,4,145,157,9104,3115,14,51,145,8014,1056,21,157,51,0.4458128078817734,0.011570907432740538,0.0025079799361605107,0.014078887368901049,1.9646690518783543
10,9.22.1,Bard,432,Bard,True,,,,,True,the Wandering Caretaker,"A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...",Support',Mage',Mana,4,4,5,9,Bard.png,champion0.png,champion,0,48,48,48,575.0,89,350.0,50.0,330,34.0,4.0,30.0,0.5,500,5.5,0.55,6.0,0.45,0,0,52.0,3.0,2.0,0.625,8112,3117,4,51,64,8126,3092,14,64,157,8105,3107,3,145,145,0.5291916167664671,0.038075695394436844,0.003562471500227998,0.04163816689466484,1.5784276003591124
11,9.22.1,Blitzcrank,53,Blitzcrank,True,,,,,True,the Great Steam Golem,"Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...",Tank',Fighter',Mana,4,8,5,4,Blitzcrank.png,champion0.png,champion,48,48,48,48,582.6,95,267.2,40.0,325,40.0,3.5,32.1,1.25,125,8.5,0.75,8.5,0.8,0,0,61.54,3.5,1.13,0.625,8439,3117,4,145,235,8446,3401,14,51,412,8345,3050,3,245,51,0.5275590551181102,0.10496466028271774,0.41489968080255357,0.5198643410852714,1.433097708928661
12,9.22.1,Brand,63,Brand,True,,,,,True,the Burning Vengeance,"Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the...",Mage',,Mana,2,2,9,4,Brand.png,champion0.png,champion,96,48,48,48,519.68,88,469.0,21.0,340,21.88,3.5,30.0,0.5,550,5.5,0.55,10.665,0.6,0,0,57.04,3.0,1.36,0.625,8226,3020,4,51,235,8237,3151,14,145,145,8138,3116,3,22,51,0.5035429583702391,0.06435248518011856,0.05634404924760602,0.12069653442772457,1.73345283144128
13,9.22.1,Braum,201,Braum,True,,,,,True,the Heart of the Freljord,"Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...",Support',Tank',Mana,3,9,4,3,Braum.png,champion0.png,champion,144,48,48,48,540.0,87,310.6,45.0,335,47.0,4.0,32.1,1.25,125,8.0,1.0,6.0,0.8,0,0,55.376000000000005,3.2,3.5,0.644,8465,3401,4,236,145,8463,3117,14,245,51,8473,3109,3,145,412,0.460431654676259,0.023768809849521205,0.006383948928408573,0.030152758777929778,1.2591697781682407
14,9.22.1,Caitlyn,51,Caitlyn,True,,,,True,,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481.0,91,313.7,35.0,325,28.0,3.5,30.0,0.5,650,3.5,0.55,7.4,0.55,0,0,62.0,2.88,4.0,0.625,8014,3006,4,235,235,8021,3031,7,245,145,9111,3094,12,412,22,0.5015227189669874,0.2339546283629731,0.17735408116735066,0.4113087095303237,2.166074313408724
15,9.22.1,Camille,164,Camille,True,True,True,True,,,the Steel Shadow,"Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...",Fighter',Tank',Mana,8,6,3,4,Camille.png,champion0.png,champion,240,48,48,48,575.6,85,338.8,32.0,340,35.0,3.8,32.1,1.25,125,8.5,0.8,8.15,0.75,0,0,68.0,3.5,2.5,0.644,8473,3078,4,235,235,8401,3074,12,145,145,9111,3047,14,51,51,0.47119565217391307,0.05243958048335613,0.013337893296853625,0.06577747378020976,1.957811649428416
16,9.22.1,Cassiopeia,69,Cassiopeia,True,,,True,,,the Serpent's Embrace,"Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...",Mage',,Mana,2,3,9,10,Cassiopeia.png,champion0.png,champion,288,48,48,48,575.0,90,350.0,40.0,328,20.0,3.5,30.0,0.5,550,5.5,0.5,8.0,0.8,0,0,53.0,3.0,1.5,0.647,8226,3040,4,51,145,8230,3116,12,412,51,8135,1056,14,145,412,0.5180572851805728,0.02288531691746466,0.006982444140446876,0.029867761057911536,2.05
17,9.22.1,Chogath,31,Cho'Gath,True,True,,True,,,the Terror of the Void,"From the moment Cho'Gath first emerged into the harsh light of Runeterra's sun, the beast was driven by the most pure and insatiable hunger. A perfect expression of the Void's desire to consume all life, Cho'Gath's complex biology quickly converts...",Tank',Mage',Mana,3,7,7,5,Chogath.png,champion0.png,champion,336,48,48,48,574.4,80,272.2,40.0,345,38.0,3.5,32.1,1.25,125,9.0,0.85,7.206,0.45,0,0,69.0,4.2,1.44,0.625,8446,3111,4,157,145,8451,3047,12,235,64,8126,3800,14,145,157,0.4813052345343304,0.04192316461468308,0.007837437300501597,0.04976060191518468,2.0299293513166345
18,9.22.1,Corki,42,Corki,False,,,True,,,the Daring Bombardier,"The yordle pilot Corki loves two things above all others: flying, and his glamorous mustache... though not necessarily in that order. After leaving Bandle City, he settled in Piltover and fell in love with the wondrous machines he found there. He...",Marksman',,Mana,8,3,6,6,Corki.png,champion0.png,champion,384,48,48,48,518.0,87,350.16,34.0,325,28.0,3.5,30.0,0.5,550,5.5,0.55,7.4239999999999995,0.55,0,0,55.0,2.5,2.3,0.638,9111,3078,4,51,412,8014,3020,12,145,145,8021,1055,7,412,51,0.43018867924528303,0.007552439580483356,0.0016529867761057911,0.009205426356589146,2.1365853658536587
19,9.22.1,Darius,122,Darius,True,True,,,,,the Hand of Noxus,"There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that...",Fighter',Tank',Mana,9,5,1,2,Darius.png,champion0.png,champion,432,48,48,48,582.24,100,263.0,37.5,340,39.0,4.0,32.1,1.25,175,10.0,0.95,6.6,0.35,0,0,64.0,5.0,1.0,0.625,9111,3078,4,235,235,8010,3111,6,51,157,8014,3047,12,145,51,0.5047998126902364,0.12172252621979024,0.35829913360693116,0.4800216598267214,2.1047176708381716
20,9.22.1,Diana,131,Diana,True,,,True,,,Scorn of the Moon,"Bearing her crescent moonblade, Diana fights as a warrior of the Lunari—a faith all but quashed in the lands around Mount Targon. Clad in shimmering armor the color of winter snow at night, she is a living embodiment of the silver moon's power. Imbued...",Fighter',Mage',Mana,7,6,8,4,Diana.png,champion0.png,champion,0,96,48,48,594.0,95,372.0,20.0,345,31.0,3.6,32.1,1.25,150,7.5,0.85,8.0,0.8,0,0,53.04,3.0,2.25,0.625,8112,3020,4,235,157,8138,3089,14,51,235,8135,1056,12,145,145,0.5050451407328731,0.053665070679434566,0.028357273141814864,0.08202234382124943,2.2171770503343895
21,9.22.1,Draven,119,Draven,True,,,,True,,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Marksman',,Mana,9,3,1,8,Draven.png,champion0.png,champion,48,96,48,48,574.0,88,360.56,39.0,330,29.0,3.3,30.0,0.5,550,3.75,0.7,8.042,0.65,0,0,60.0,3.61,2.7,0.679,8014,3031,4,235,235,9111,3072,7,245,51,8005,3006,21,412,145,0.5156059991892987,0.07030893752849977,0.13554491564067486,0.20585385316917465,2.153872704680381
