Rank,Type,SubType,Value,Role,version,id,key,name,HardCCs,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Items0,Items1,Items2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,duration0-20_total,duration0-20_wins,duration0-20_winrate,duration20-25_total,duration20-25_wins,duration20-25_winrate,duration25-30_total,duration25-30_wins,duration25-30_winrate,duration30-35_total,duration30-35_wins,duration30-35_winrate,duration35+_total,duration35+_wins,duration35+_winrate,Allies0_winrate,Allies0_samples,Allies1_winrate,Allies1_samples,Allies2_winrate,Allies2_samples,Counters0_winrate,Counters0_samples,Counters1_winrate,Counters1_samples,Counters2_winrate,Counters2_samples
0,Item,Item0_name,Berserker's Greaves,ADC,9.22.1,Ashe,22,Ashe,TRUE,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Marksman',Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539,85,280,32,325,26,3.4,30,0.5,600,3.5,0.55,6.972,0.4,0,0,61,2.96,3.33,0.658,3006,3153,3085,0.517320086,0.172567192,0.085820204,0.258387396,1.99904052,876,458,0.52283105,1739,952,0.547441058,2188,1108,0.506398537,1588,805,0.506926952,1057,530,0.501419111,0.662921348,296,0.627118644,296,0.621399177,296,0.41025641,201,0.423076923,201,0.424242424,201
0,Item,Item0_name,Berserker's Greaves,ADC,9.22.1,Caitlyn,51,Caitlyn,TRUE,the Sheriff of Piltover,"Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...",Marksman',,Mana,8,2,2,6,Caitlyn.png,champion0.png,champion,192,48,48,48,481,91,313.7,35,325,28,3.5,30,0.5,650,3.5,0.55,7.4,0.55,0,0,62,2.88,4,0.625,3006,3031,3094,0.505876592,0.236561631,0.173076923,0.409638554,2.171762624,1300,695,0.534615385,2374,1226,0.51642797,2979,1500,0.503524673,2134,1038,0.486410497,1423,706,0.496134926,0.595419847,284,0.589041096,284,0.584269663,284,0.414634146,308,0.416666667,308,0.417582418,308
0,Item,Item0_name,Infinity Edge,ADC,9.22.1,Draven,119,Draven,TRUE,the Glorious Executioner,"In Noxus, warriors known as Reckoners face one another in arenas where blood is spilled and strength tested—but none has ever been as celebrated as Draven. A former soldier, he found that the crowds uniquely appreciated his flair for the dramatic, and...",Marksman',,Mana,9,3,1,8,Draven.png,champion0.png,champion,48,96,48,48,574,88,360.56,39,330,29,3.3,30,0.5,550,3.75,0.7,8.042,0.65,0,0,60,3.61,2.7,0.679,3031,3072,3006,0.510366826,0.072636701,0.142863763,0.215500463,2.160702488,476,229,0.481092437,757,402,0.531043593,924,497,0.537878788,630,320,0.507936508,348,152,0.436781609,0.698113208,78,0.677419355,78,0.655172414,78,0.290322581,85,0.307692308,85,0.333333333,85
0,Item,Item0_name,Muramana,ADC,9.22.1,Ezreal,81,Ezreal,FALSE,the Prodigal Explorer,"A dashing adventurer, unknowingly gifted in the magical arts, Ezreal raids long-lost catacombs, tangles with ancient curses, and overcomes seemingly impossible odds with ease. His courage and bravado knowing no bounds, he prefers to improvise his way...",Marksman',Mage',Mana,7,2,6,7,Ezreal.png,champion0.png,champion,288,96,48,48,491,86,360.6,42,325,22,3.5,30,0.5,550,4,0.55,8.092,0.65,0,0,60,2.5,1.5,0.625,3042,3158,3025,0.455817783,0.168860056,0.034383689,0.203243744,2.061619348,890,331,0.371910112,1642,702,0.427527406,2081,1010,0.485343585,1638,826,0.504273504,1037,453,0.43683703,0.655172414,222,0.561403509,222,0.557632399,222,0.357894737,223,0.363636364,223,0.369565217,223
0,Item,Item0_name,Sorcerer's Shoes,ADC,9.22.1,Heimerdinger,74,Heimerdinger,TRUE,the Revered Inventor,"A brilliant yet eccentric yordle scientist, Professor Cecil B. Heimerdinger is one of the most innovative and esteemed inventors Piltover has ever known. Relentless in his work to the point of neurotic obsession, he thrives on answering the universe's...",Mage',Support',Mana,2,6,8,8,Heimerdinger.png,champion1.png,champion,336,0,48,48,488,87,385,20,340,19.04,3,30,0.5,550,7,0.55,8,0.8,0,0,55.536,2.7,1.36,0.625,3020,3285,3157,0.530571992,0.046987952,0.01746988,0.064457831,1.875045537,234,117,0.5,472,254,0.538135593,596,324,0.543624161,445,227,0.51011236,281,154,0.548042705,0.833333333,73,0.717948718,73,0.683333333,73,0.238095238,64,0.333333333,64,0.360655738,64
0,Item,Item0_name,Infinity Edge,ADC,9.22.1,Jhin,202,Jhin,TRUE,the Virtuoso,"Jhin is a meticulous criminal psychopath who believes murder is art. Once an Ionian prisoner, but freed by shadowy elements within Ionia's ruling council, the serial killer now works as their cabal's assassin. Using his gun as his paintbrush, Jhin...",Marksman',Mage',Mana,10,2,6,6,Jhin.png,champion1.png,champion,240,48,48,48,556,91,300,50,330,24,3.5,30,0.5,550,3.75,0.55,6,0.8,0,0,59,4.7,0,0.625,3031,3094,3009,0.519980427,0.142052827,0.011700649,0.153753475,2.329543957,742,376,0.506738544,1372,718,0.523323615,1798,958,0.532814238,1319,691,0.523881729,900,445,0.494444444,0.733333333,231,0.653061224,231,0.62962963,231,0.392857143,183,0.408284024,183,0.441717791,183
0,Item,Item0_name,Infinity Edge,ADC,9.22.1,Jinx,222,Jinx,TRUE,the Loose Cannon,"A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx...",Marksman',,Mana,9,2,4,6,Jinx.png,champion1.png,champion,288,48,48,48,581,84,245,45,325,28,3.5,30,0.5,525,3.75,0.5,6.7,1,0,0,57,3.4,1,0.625,3031,3006,3085,0.51600132,0.140454124,0.013994439,0.154448563,2.18004807,750,394,0.525333333,1450,787,0.542758621,1752,894,0.510273973,1321,643,0.48675246,789,410,0.51964512,0.733333333,144,0.6875,144,0.64,144,0.40625,192,0.413793103,192,0.42,192
0,Item,Item0_name,Berserker's Greaves,ADC,9.22.1,Kaisa,145,Kai'Sa,FALSE,Daughter of the Void,"Claimed by the Void when she was only a child, Kai'Sa managed to survive through sheer tenacity and strength of will. Her experiences have made her a deadly hunter and, to some, the harbinger of a future they would rather not live to see. Having entered...",Marksman',,Mana,8,5,3,6,Kaisa.png,champion1.png,champion,336,48,48,48,571,86,344.88,38,335,28,3,30,0.5,525,3.5,0.55,8.2,0.45,0,0,59,1.7,1.8,0.644,3006,3124,3042,0.464239913,0.23487025,0.110843373,0.345713624,2.25887246,1251,579,0.462829736,2499,1100,0.44017607,3015,1384,0.459038143,2135,1030,0.482435597,1237,613,0.495553759,0.612903226,251,0.549019608,251,0.545454545,251,0.376712329,280,0.378737542,280,0.379844961,280
0,Item,Item0_name,Berserker's Greaves,ADC,9.22.1,Kalista,429,Kalista,FALSE,the Spear of Vengeance,"A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing...",Marksman',,Mana,8,2,4,7,Kalista.png,champion1.png,champion,384,48,48,48,534,89,250,45,325,23,3.5,30,0.5,525,3.75,0.55,6.3,0.4,0,0,69,4,4,0.694,3006,3153,3085,0.449355433,0.012581094,0.001482854,0.014063948,2.188388267,78,32,0.41025641,145,65,0.448275862,156,76,0.487179487,99,41,0.414141414,65,30,0.461538462,0.8,5,0.727272727,5,0.6875,5,0.105263158,30,0.181818182,30,0.2,30
0,Item,Item0_name,Guinsoo's Rageblade,ADC,9.22.1,KogMaw,96,Kog'Maw,FALSE,the Mouth of the Abyss,"Belched forth from a rotting Void incursion deep in the wastelands of Icathia, Kog'Maw is an inquisitive yet putrid creature with a caustic, gaping mouth. This particular Void-spawn needs to gnaw and drool on anything within reach to truly understand it...",Marksman',Mage',Mana,8,2,5,6,KogMaw.png,champion1.png,champion,432,96,48,48,534,88,325,40,330,24,3.5,30,0.5,500,3.75,0.55,8.75,0.7,0,0,61,3.11,2.65,0.665,3124,3006,3153,0.495821727,0.016635774,0.001506024,0.018141798,2.107344633,70,29,0.414285714,152,73,0.480263158,254,132,0.519685039,134,66,0.492537313,108,56,0.518518519,0.782608696,16,0.692307692,16,0.6875,16,0.233333333,23,0.25,23,0.285714286,23
