,version,id,key,name,HardCCs,Top,Jungle,Mid,ADC,Support,title,blurb,Tag1,Tag2,partype,info.attack,info.defense,info.magic,info.difficulty,image.full,image.sprite,image.group,image.x,image.y,image.w,image.h,stats.hp,stats.hpperlevel,stats.mp,stats.mpperlevel,stats.movespeed,stats.armor,stats.armorperlevel,stats.spellblock,stats.spellblockperlevel,stats.attackrange,stats.hpregen,stats.hpregenperlevel,stats.mpregen,stats.mpregenperlevel,stats.crit,stats.critperlevel,stats.attackdamage,stats.attackdamageperlevel,stats.attackspeedperlevel,stats.attackspeed,Runes0,Items0,Spells0,Runes1,Items1,Spells1,Runes2,Items2,Spells2,win_rate,pick_rate,ban_rate,pick_ban_rate,average_KDA,duration0-20_total,duration0-20_wins,duration0-20_winrate,duration20-25_total,duration20-25_wins,duration20-25_winrate,duration25-30_total,duration25-30_wins,duration25-30_winrate,duration30-35_total,duration30-35_wins,duration30-35_winrate,duration35+_total,duration35+_wins,duration35+_winrate,Allies0_winrate,Allies0_samples,Allies1_winrate,Allies1_samples,Allies2_winrate,Allies2_samples,Counters0_winrate,Counters0_samples,Counters1_winrate,Counters1_samples,Counters2_winrate,Counters2_samples,Allies0,Allies1,Allies2,Counters0,Counters1,Counters2
0,9.22.1,Aatrox,266,Aatrox,TRUE,TRUE,,TRUE,,,the Darkin Blade,"Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...",Fighter',Tank',Blood Well,8,4,3,4,Aatrox.png,champion0.png,champion,0,0,48,48,580,90,0,0,345,38,3.25,32.1,1.25,175,3,1,0,0,0,0,60,5,2.5,0.651,Triumph,3071,SummonerFlash,Conqueror,3812,SummonerTeleport,RavenousHunter,3047,SummonerDot,0.458192568,0.054865616,0.050231696,0.105097312,1.906692308,336,171,0.508928571,582,276,0.474226804,662,291,0.439577039,510,216,0.423529412,278,131,0.471223022,0.666666667,76,0.619047619,76,0.615384615,76,0.166666667,64,0.25,64,0.294117647,64,Ivern,Sona,Teemo,Azir,Quinn,Kennen
1,9.22.1,Ahri,103,Ahri,TRUE,,,TRUE,,,the Nine-Tailed Fox,"Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...",Mage',Assassin',Mana,3,4,8,5,Ahri.png,champion0.png,champion,48,0,48,48,526,92,418,25,330,20.88,3.5,30,0.5,550,6.5,0.6,8,0.8,0,0,53.04,3,2,0.668,Electrocute,3020,SummonerFlash,EyeballCollection,3285,SummonerDot,ManaflowBand,1056,SummonerTeleport,0.519350811,0.092794254,0.052826691,0.145620945,2.166886812,464,257,0.55387931,874,470,0.537757437,1171,609,0.520068318,880,438,0.497727273,616,306,0.496753247,0.7,86,0.692307692,86,0.673913043,86,0.357142857,128,0.392156863,128,0.392857143,128,Sylas,Skarner,Xerath,Ivern,Gnar,AurelionSol
2,9.22.1,Akali,84,Akali,FALSE,TRUE,,TRUE,,,the Rogue Assassin,"Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...",Assassin',,Energy,5,3,8,7,Akali.png,champion0.png,champion,96,0,48,48,575,95,200,0,345,23,3.5,37,1.25,125,8,0.5,50,0,0,0,62.4,3.3,3.2,0.625,CoupDeGrace,3146,SummonerFlash,Triumph,3020,SummonerDot,RavenousHunter,3157,SummonerTeleport,0.463134658,0.104958295,0.193489342,0.298447637,2.229856936,568,262,0.461267606,982,483,0.49185336,1365,596,0.436630037,978,464,0.474437628,637,293,0.459968603,0.733333333,124,0.681818182,124,0.617647059,124,0.344262295,108,0.347826087,108,0.355932203,108,Ivern,Viktor,Taric,MonkeyKing,TahmKench,Kled
3,9.22.1,Alistar,12,Alistar,TRUE,,,,,TRUE,the Minotaur,"Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...",Tank',Support',Mana,6,9,5,7,Alistar.png,champion0.png,champion,144,0,48,48,573.36,106,350,40,330,44,3.5,32.1,1.25,125,8.5,0.85,8.5,0.8,0,0,61.1116,3.62,2.125,0.625,Aftershock,3117,SummonerFlash,Demolish,3401,SummonerDot,Overgrowth,3109,SummonerExhaust,0.453496756,0.032136237,0.008989805,0.041126043,1.317983821,164,72,0.43902439,344,128,0.372093023,406,191,0.47044335,302,162,0.536423841,171,76,0.444444444,0.692307692,3,0.666666667,3,0.608695652,3,0.166666667,22,0.230769231,22,0.238095238,22,Sylas,Ziggs,Kennen,Singed,Rumble,Maokai
4,9.22.1,Amumu,32,Amumu,TRUE,,TRUE,,,,the Sad Mummy,"Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...",Tank',Mage',Mana,2,6,8,3,Amumu.png,champion0.png,champion,192,0,48,48,613.12,84,287.2,40,335,33,3.8,32.1,1.25,125,9,0.85,7.382,0.525,0,0,53.38,3.8,2.18,0.736,Aftershock,1401,SummonerFlash,Overgrowth,3047,SummonerSmite,FontOfLife,2031,SummonerDot,0.503884573,0.041751622,0.007113068,0.04886469,1.834504858,204,109,0.534313725,404,199,0.492574257,542,273,0.503690037,394,192,0.487309645,258,135,0.523255814,0.823529412,56,0.8,56,0.684210526,56,0.285714286,58,0.322580645,58,0.328358209,58,Ziggs,Taric,Viktor,Braum,Sona,Rengar
5,9.22.1,Anivia,34,Anivia,TRUE,,,TRUE,,,the Cryophoenix,"Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...",Mage',Support',Mana,1,4,10,10,Anivia.png,champion0.png,champion,240,0,48,48,480,82,495,25,325,21.22,4,30,0.5,600,5.5,0.55,8,0.8,0,0,51.376,3.2,1.68,0.625,ManaflowBand,3027,SummonerFlash,ArcaneComet,3020,SummonerTeleport,GatheringStorm,3040,SummonerDot,0.508650519,0.026784059,0.011793327,0.038577386,2.148491422,113,54,0.477876106,253,130,0.513833992,371,187,0.504043127,254,136,0.535433071,165,81,0.490909091,0.846153846,28,0.714285714,28,0.692307692,28,0.173913043,37,0.222222222,37,0.275862069,37,Yorick,Leona,MonkeyKing,Kled,Nasus,JarvanIV
6,9.22.1,Annie,1,Annie,TRUE,,,TRUE,,,the Dark Child,"Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...",Mage',,Mana,2,3,10,6,Annie.png,champion0.png,champion,288,0,48,48,524,88,418,25,335,19.22,4,30,0.5,625,5.5,0.55,8,0.8,0,0,50.41,2.625,1.36,0.579,EyeballCollection,3020,SummonerFlash,Electrocute,3285,SummonerDot,CheapShot,1056,SummonerTeleport,0.491547464,0.035634847,0.010982391,0.046617238,2.044591151,183,85,0.464480874,376,193,0.513297872,454,226,0.497797357,318,154,0.48427673,207,98,0.473429952,0.818181818,29,0.739130435,29,0.694444444,29,0.3,49,0.307692308,49,0.3125,49,Ivern,Velkoz,Sivir,Cassiopeia,Shyvana,Sejuani
7,9.22.1,Ashe,22,Ashe,TRUE,,,,TRUE,,the Frost Archer,"Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...",Marksman',Support',Mana,7,3,2,4,Ashe.png,champion0.png,champion,336,0,48,48,539,85,280,32,325,26,3.4,30,0.5,600,3.5,0.55,6.972,0.4,0,0,61,2.96,3.33,0.658,CoupDeGrace,3006,SummonerFlash,Triumph,3153,SummonerHeal,LethalTempo,3085,SummonerTeleport,0.517320086,0.172567192,0.085820204,0.258387396,1.99904052,876,458,0.52283105,1739,952,0.547441058,2188,1108,0.506398537,1588,805,0.506926952,1057,530,0.501419111,0.662921348,296,0.627118644,296,0.621399177,296,0.41025641,201,0.423076923,201,0.424242424,201,Taric,Twitch,Soraka,Sona,Taric,Bard
8,9.22.1,AurelionSol,136,Aurelion Sol,TRUE,,,TRUE,,,The Star Forger,"Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...",Mage',,Mana,2,3,8,7,AurelionSol.png,champion0.png,champion,384,0,48,48,575,92,350,50,325,19,3.6,30,0.5,550,7,0.6,6,0.8,0,0,57,3.2,1.36,0.625,Electrocute,3027,SummonerFlash,EyeballCollection,3116,SummonerDot,TasteOfBlood,2033,SummonerExhaust,0.551903114,0.01339203,0.0028962,0.01628823,2.100097815,84,45,0.535714286,137,77,0.562043796,163,96,0.588957055,114,62,0.543859649,80,39,0.4875,0.8,17,0.8,17,0.8,17,0.294117647,14,0.307692308,14,0.307692308,14,Gnar,Maokai,Velkoz,Nocturne,Heimerdinger,Rumble
9,9.22.1,Azir,268,Azir,TRUE,,,TRUE,,,the Emperor of the Sands,"Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...",Mage',Marksman',Mana,6,3,8,9,Azir.png,champion0.png,champion,432,0,48,48,552,92,438,21,335,19.04,3,30,0.5,525,7,0.75,8,0.8,0,0,52,2.8,3,0.625,ManaflowBand,3020,SummonerFlash,LegendAlacrity,3115,SummonerDot,CoupDeGrace,1056,SummonerBarrier,0.457142857,0.011353105,0.002664504,0.014017609,1.984569063,53,24,0.452830189,118,49,0.415254237,148,66,0.445945946,102,50,0.490196078,69,35,0.507246377,0.692307692,13,0.689655172,13,0.666666667,13,0.083333333,10,0.230769231,10,0.266666667,10,Zyra,Nautilus,Nocturne,XinZhao,Nunu,Ahri
